SMILES,HeavyAtoms,NumBonds,NumRings,MW
CCC(CC)N1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(C(CC)CC)C5=O,40,46,7,530.6240000000004
CCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCC)C5=O,36,42,7,474.5160000000003
COc1ccc(CN2C(=O)c3ccc4c5ccc6c7c(ccc(c8ccc(c3c48)C2=O)c75)C(=O)N(Cc2ccc(OC)cc2)C6=O)cc1,48,56,9,630.6560000000003
O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1CCc1ccccn1)c64)C(=O)N(CCc1ccccn1)C5=O,46,54,9,600.6340000000004
O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1CCN1CCOCC1)c64)C(=O)N(CCN1CCOCC1)C5=O,46,54,9,616.6740000000001
CN1CCCC1CCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCC1CCCN1C)C5=O,46,54,9,612.73
NCCCNCCCCNCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCNCCCCNCCCN)C5=O,54,60,7,732.9299999999996
O=C1c2ccc3c4c(N5CCCCC5)cc5c6c(cc(N7CCCCC7)c(c7ccc(c2c37)C(=O)N1CCOCCN1CCCCC1)c64)C(=O)N(CCOCCN1CCCCC1)C5=O,64,74,11,867.1039999999988
CN1CCN(CCOCCN2C(=O)c3ccc4c5c(N6CCCCC6)cc6c7c(ccc(c8c(N9CCCCC9)cc(c3c48)C2=O)c75)C(=O)N(CCOCCN2CCN(C)CC2)C6=O)CC1,66,76,11,897.1339999999989
CN(C)CCOCCN1C(=O)c2ccc3c4c(N5CCCCC5)cc5c6c(ccc(c7c(N8CCCCC8)cc(c2c37)C1=O)c64)C(=O)N(CCOCCN(C)C)C5=O,58,66,9,786.9739999999993
CNCCOCCN1C(=O)c2ccc3c4c(N5CCCCC5)cc5c6c(ccc(c7c(N8CCCCC8)cc(c2c37)C1=O)c64)C(=O)N(CCOCCNC)C5=O,56,64,9,758.9199999999994
O=C1c2ccc3c4c(N5CCCCC5)cc5c6c(ccc(c7c(N8CCCCC8)cc(c2c37)C(=O)N1CCOCCN1CCCCC1)c64)C(=O)N(CCOCCN1CCCCC1)C5=O,64,74,11,867.1039999999988
NCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCN)C5=O,38,44,7,504.54600000000045
Cc1cccc(C)c1N1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(c1c(C)cccc1C)C5=O,46,54,9,598.6580000000002
CCCCCCC(CCCCCC)N1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(C(CCCCCC)CCCCCC)C5=O,56,62,7,755.0559999999995
CCCCCCCCCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCCCCCCCCCC)C5=O,54,60,7,727.0019999999995
CCCCCCCCCCCCCCCCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCCCCCCCCCCCCCCCC)C5=O,66,72,7,895.3259999999989
CCCCN1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(CCCC)C5=O,38,44,7,502.5700000000004
Nc1cccc(N2C(=O)c3ccc4c5ccc6c7c(ccc(c8ccc(c3c48)C2=O)c75)C(=O)N(c2cccc(N)c2)C6=O)c1,44,52,9,572.5800000000002
Cc1ccc(N2C(=O)c3ccc4c5ccc6c7c(ccc(c8ccc(c3c48)C2=O)c75)C(=O)N(c2ccc(C)cc2)C6=O)cc1,44,52,9,570.6040000000003
CC(C)C(C(C)C)N1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(C(C(C)C)C(C)C)C5=O,44,50,7,586.7320000000002
CCCCCCCCCC(CCCCCCCCC)N1C(=O)c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C1=O)c64)C(=O)N(C(CCCCCCCCC)CCCCCCCCC)C5=O,68,74,7,923.379999999999
