SMILES,Reason
CCCCCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)[N+](=C5C=CN(C=C5)CCCCCCC6=C(SC(=C6)C)C)C4=O)C1=O,NDI core not found
CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)C)SC(=C(C#N)C(=O)OC)S6)C1=O)SC(=C(C#N)C(=O)O)S3,NDI core not found
CN1C(=O)C2=C3C4=C(C=C2)C(=O)N(C(=O)C4=C5C(=C3C1=O)SC(=CC#N)S5)C,NDI core not found
CN1C(=O)C2=C3C4=C(C=C2)C(=O)N(C(=O)C4=C5C(=C3C1=O)SC(=C(C#N)C(=C6SC7=C8C9=C(C=CC1=C9C(=C7S6)C(=O)N(C1=O)C)C(=O)N(C8=O)C)C#N)S5)C,NDI core not found
CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CC(CCCCCCCCCC)CCCCCCCCCCCC)SC(=C(C=CC(C)C)C#N)S6)C1=O)SC(=CC#N)S3,NDI core not found
CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)C)SC(=C(C#N)C#N)S6)C1=O)SC(=CC#N)S3,NDI core not found
CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CC(CCCCCCCCCC)CCCCCCCCCCCC)SC(=CC7=CC8=C(S7)C=C(S8)C)S6)C1=O)SC(=CC#N)S3,NDI core not found
CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)C)SC(=C(C#N)C(=C7SC8=C9C2=C4C(=C5C(=C2C(=O)N(C9=O)C)SC(=C(C#N)C#N)S5)C(=O)N(C(=O)C4=C8S7)C)C#N)S6)C1=O)SC(=C(C#N)C#N)S3,NDI core not found
CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CC(CCCCCCCCCC)CCCCCCCCCCCC)SC(=CC#N)S6)C1=O)SC(=CC#N)S3,NDI core not found
CCCCCCCCCCCCC(CCCCCCCCCC)CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CC(CCCCCCCCCC)CCCCCCCCCCCC)SC(=C(C#N)C7=CC=C(S7)C)S6)C1=O)SC(=CC(C)C#N)S3,NDI core not found
CCCCCCN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CCCCCC)SC7=CC=CC=C7S6)C1=O)SC8=CC=CC=C8S3,NDI core not found
C1=CC=C(C=C1)N2C(=O)C3=C4C(=C5C6=C3C(=C7C(=C6C(=O)N(C5=O)C8=CC=CC=C8)SC(=C(C#N)C#N)S7)C2=O)SC(=C(C#N)C#N)S4,NDI core not found
CCCCCCN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CCCCCC)SC(=C(C#N)C#N)S6)C1=O)SC(=C(C#N)C#N)S3,NDI core not found
CCCCCCCCN1C(C2=C3C4=C(C=C2)C(=O)N(C(=O)C4=C5C6=C7C8=C(C5=C3C1=O)C=C9C1=C(C=C2C(=C18)C1=C7C3=C(C=C1C1=C4C5=C(C=CC7=C5C(=C21)C(=O)N(C7=O)CCCCCCCC)C(=O)N(C4=O)CCCCCCCC)C(N(C(=O)C3=C6)C(CCCCCCC)CCCCCCC)O)C(N(C9=O)C(CCCCCCC)CCCCCCC)O)CCCCCCCC)O,NDI core not found
CCCCCCN1C(=O)C2=C3C(=CC=C4C3=C(C=C2)C(=O)[N+](=C5C=CN(C=C5)CCCCCCC6=C(SC(=C6)C(C)(C)C)C(C)(C)C)C4=O)C1=O,NDI core not found
CCCCCCCCN1C(=O)C2=C3C4=C(C=C2)C(=O)N(C(=O)C4=C5C6=CC7=C8C(=CC9=C2C8=C6C4=C6C2=C(C=C2C6=C(C=C4C5=C3C1=O)C(=O)N(C2=O)C1=C(C=CC=C1C(C)C)C(C)C)C1=C2C3=C(C=CC4=C3C(=C91)C(=O)N(C4=O)CCCCCCCC)C(=O)N(C2=O)CCCCCCCC)C(=O)N(C7=O)C1=C(C=CC=C1C(C)C)C(C)C)CCCCCCCC,NDI core not found
CCCCCCCCC(C)CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CC(C)C)SC(=C(C#N)C#N)S6)C1=O)SC(=C(C#N)C#N)S3,NDI core not found
CC(C)CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CC(C)C)SC(=C(C#N)C#N)S6)C1=O)SC(=C(C#N)C#N)S3,NDI core not found
CCCCCCCCN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CCCCCCCC)SC(=C(C#N)C#N)S6)C1=O)SC(=C(C#N)C#N)S3,NDI core not found
CN1C(=O)C2=C3C(=C(SC3=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)C)SC(=C(C#N)C#N)S6)C1=O)C#N)C#N,NDI core not found
CCCCCCN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CCCCCC)SC(=C([N+]#[C-])[N+]#[C-])S6)C1=O)SC(=C(C#N)C#N)S3,NDI core not found
CCCCCCN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CCCCCC)SC(=C(C(=O)CO)[N+]#[C-])S6)C1=O)SC(=C(C#N)C(=O)OC)S3,NDI core not found
[C-]#[N+]C(=C1SC2=C3C4=C5C(=C6C(=C4C(=O)N(C3=O)C7=CC=CC=C7)SC(=C(C#N)C#N)S6)C(=O)N(C(=O)C5=C2S1)C8=CC=CC=C8)[N+]#[C-],NDI core not found
CCCCCCCCN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CCCCCCCC)SC(=C([N+]#[C-])[N+]#[C-])S6)C1=O)SC(=C(C#N)C#N)S3,NDI core not found
CCCCCCN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CCCCCC)SC(=C(S6)[N+]#[C-])[N+]#[C-])C1=O)SC(=C(S3)C#N)C#N,NDI core not found
CCCCCCN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CCCCCC)SC(=C(C#N)C#N)S6)C1=O)SC(=C(S3)[N+]#[C-])[N+]#[C-],NDI core not found
CCCCCCN1C(=O)C2=C3C(=C(SC3=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CCCCCC)SC(=C([N+]#[C-])[N+]#[C-])S6)C1=O)C#N)C#N,NDI core not found
C1=CC=C(C=C1)N2C(=O)C3=C4C(=C5C6=C3C(=C7C(=C6C(=O)N(C5=O)C8=CC=CC=C8)NC9=CC=CC=C9N7)C2=O)NC1=CC=CC=C1N4,NDI core not found
CC(C)(C)C1=CC=C(C=C1)N2C(=O)C3=C4C(=C5C6=C3C(=C7C(=C6C(=O)N(C5=O)C8=CC=C(C=C8)C(C)(C)C)SC(=C(C#N)C#N)S7)C2=O)SC(=C(C#N)C#N)S4,NDI core not found
CCCCCCCCN1C(=O)C2=C(C(=C3C4=C2C(=C5C(=C4C(=O)N(C3=O)CCCCCCCC)SC6=CC=CC=C6S5)C1=O)NC7=CC=CC=C7)NC8=CC=CC=C8,NDI core not found
CCCCCCCCNC1=C2C3=C4C(=C1NCCCCCCCC)C(=O)N(C(=O)C4=C5C(=C3C(=O)N(C2=O)CCCCCCCC)SC6=CC=CC=C6S5)CCCCCCCC,NDI core not found
CCCCCCCCN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CCCCCCCC)SC7=CC=CC=C7S6)C1=O)SC8=CC=CC=C8S3,NDI core not found
CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)C)SC(=C(S6)[N+]#[C-])[N+]#[C-])C1=O)SC(=C(S3)C#N)C#N,NDI core not found
CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CC(CCCCCCCC)CCCCCCCCCC)SC7=C(S6)SC(=S)S7)C1=O)SC8=C(S3)SC(=S)S8,NDI core not found
CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C3C(=C4C5=C2C(=C6C(=C5C(=O)N(C4=O)CC(CCCCCCCC)CCCCCCCCCC)SC7=C(S6)SC(=O)S7)C1=O)SC8=C(S3)SC(=O)S8,NDI core not found
