dataset,Cx,Cy,MolFormula,Molecule_ID,SMILES,Sidechain,Source,Tx,Ty,Tz,Theta,best_objective,interaction_energy,Full_torsion_angles,optimization_success,xyz_file_path,xyz_generated,Original_MolFormula,hash,smiles_occurrence_count
NDI,1.8684,0.1759,C32H28N4O4_1,C32H28N4O4_1,CCN(Cc1ccccc1)N1C(=O)c2ccc3c4c(ccc(c24)C1=O)C(=O)N(N(CC)Cc1ccccc1)C3=O,CCNCc1ccccc1,Pubchem,0.0693,-1.6882,3.1694,-45,-119.755167,-119.559504,"[-48.727, 9.935, -89.019, -240.496]",True,/home/arunima/ndi_dataset_creation/Supramolecule_app_2/data/processed/ndi_xyz_files/C32H28N4O4/C32H28N4O4.xyz,True,C32H28N4O4,fd45de0748bd354a,1
NDI,3.0784,3.9823,C34H48N4O4_1,C34H48N4O4_1,CC(C)C(C)N(C(C)C(C)C)N1C(=O)c2ccc3c4c(ccc(c24)C1=O)C(=O)N(N(C(C)C(C)C)C(C)C(C)C)C3=O,CC(C)C(C)NC(C)C(C)C,Pubchem,-1.6923,-0.4636,2,152.646,-50.140429,-50.140405,"[3.313, 35.479]",True,/home/arunima/ndi_dataset_creation/Supramolecule_app_2/data/processed/ndi_xyz_files/C34H48N4O4/C34H48N4O4.xyz,True,C34H48N4O4,08f03ae4bf329599,1
NDI,-1.4763,0.6605,C36H56N8O4_1,C36H56N8O4_1,CCN(C)CCN(CCN(CC)CC)N1C(=O)c2ccc3c4c(ccc(c24)C1=O)C(=O)N(N(CCN(C)CC)CCN(CC)CC)C3=O,CCN(C)CCNCCN(CC)CC,Pubchem,-1.5574,5.9467,2.7603,-152.823,-57.769435,-57.769318,"[-61.884, -23.15]",True,/home/arunima/ndi_dataset_creation/Supramolecule_app_2/data/processed/ndi_xyz_files/C36H56N8O4/C36H56N8O4.xyz,True,C36H56N8O4,737e4666c27ad03c,1
NDI,-1.0651,2.922,C40H60N4O4_1,C40H60N4O4_1,CCCCCC(C)N(C(C)CCCC)N1C(=O)c2ccc3c4c(ccc(c24)C1=O)C(=O)N(N(C(C)CCCC)C(C)CCCCC)C3=O,CCCCCC(C)NC(C)CCCC,Pubchem,0.3043,4.6353,3.2009,-11.391,-78.791932,-78.791918,"[-4.69, 37.149]",True,/home/arunima/ndi_dataset_creation/Supramolecule_app_2/data/processed/ndi_xyz_files/C40H60N4O4/C40H60N4O4.xyz,True,C40H60N4O4,3caf0c46125787ae,1
NDI,-0.1169,2.2474,C18H11N3O4_1,C18H11N3O4_1,Cc1cc2c3c(c(C#N)cc4c3c1C(=O)N(C)C4=O)C(=O)N(C)C2=O,C,Pubchem,-1.8726,-1.0665,3.0121,179.832,-104.754685,-104.754692,,True,/home/arunima/ndi_dataset_creation/Supramolecule_app_2/data/processed/ndi_xyz_files/C18H11N3O4/C18H11N3O4.xyz,True,C18H11N3O4,883ab2b649a066b1,1
NDI,-0.1624,2.1089,C30H22N2O4_2,C30H22N2O4_2,Cc1ccccc1CN1C(=O)c2ccc3c4c(ccc(c24)C1=O)C(=O)N(Cc1ccccc1C)C3=O,Cc1ccccc1C,Pubchem,-1.5447,1.8329,3.1232,128.617,-115.872414,-115.73939,"[75.224, -50.801, -18.557, -70.899]",True,/home/arunima/NDI_2/data/processed/ndi_database_results_removed_duplicates_ccds5_2_xyz_files/C30H22N2O4_2/C30H22N2O4_2.xyz,True,C30H22N2O4,183b8db052b0627a,1
NDI,-0.2621,-4.3774,C32H26N2O4_2,C32H26N2O4_2,Cc1ccc(CCN2C(=O)c3ccc4c5c(ccc(c35)C2=O)C(=O)N(CCc2ccc(C)cc2)C4=O)cc1,CCc1ccc(C)cc1,Pubchem,-1.7873,0.7932,3.1912,-38.343,-110.557153,-110.383124,"[4.554, 40.905, 42.642, 3.241]",True,/home/arunima/NDI_2/data/processed/ndi_database_results_removed_duplicates_ccds5_2_xyz_files/C32H26N2O4_2/C32H26N2O4_2.xyz,True,C32H26N2O4,151ab067be10a3e3,1
NDI,-0.7351,0.5353,C32H26N2O6_1,C32H26N2O6_1,COc1cccc(CCN2C(=O)c3ccc4c5c(ccc(c35)C2=O)C(=O)N(CCc2cccc(OC)c2)C4=O)c1,CCc1cccc(OC)c1,Pubchem,1.7896,-1.7722,3.0961,-135,-115.976629,-115.976626,"[8.655, -95.883, -145.485, 103.883, 8.464, 106.304]",True,/home/arunima/NDI_2/data/processed/ndi_database_results_removed_duplicates_ccds5_2_xyz_files/C32H26N2O6_1/C32H26N2O6_1.xyz,True,C32H26N2O6,ba20730370d5d6f7,1
NDI,-1.2207,-1.2469,C34H30N2O4_2,C34H30N2O4_2,Cc1cccc(C(C)CN2C(=O)c3ccc4c5c(ccc(c35)C2=O)C(=O)N(CC(C)c2cccc(C)c2)C4=O)c1,Cc1cccc(C(C)C)c1,Pubchem,-2.137,1.9096,3.1475,-38.11,-117.52103,-117.52097,"[-18.164, -24.214, 36.337, -1.503]",True,/home/arunima/NDI_2/data/processed/ndi_database_results_removed_duplicates_ccds5_2_xyz_files/C34H30N2O4_2/C34H30N2O4_2.xyz,True,C34H30N2O4,1714d222201f1604,1
NDI,1.1256,-1.4403,C34H30N2O4_3,C34H30N2O4_3,Cc1ccc(CCN2C(=O)c3ccc4c5c(ccc(c35)C2=O)C(=O)N(CCc2ccc(C)c(C)c2)C4=O)cc1C,CCc1ccc(C)c(C)c1,Pubchem,-2.7113,-0.0262,3.1855,3.632,-124.132446,-124.132525,"[68.711, -1.634, -1.541, 68.676]",True,/home/arunima/NDI_2/data/processed/ndi_database_results_removed_duplicates_ccds5_2_xyz_files/C34H30N2O4_3/C34H30N2O4_3.xyz,True,C34H30N2O4,bd6c1f85b4437916,1
